[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(bitcoinjs-lib) [id => bitcoinjs-lib, phase => typescript, file => ../types/bitcoinjs-lib/index.d.ts] 
[debug] PhaseRunner.scala:78 Success [id => bitcoinjs-lib, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/bitcoinjs-lib/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/bitcoinjs-lib),TsIdentLibrarySimple(bitcoinjs-lib)),TsIdentModule(None,List(bitcoinjs-lib))) [id => bitcoinjs-lib, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(bitcoinjs-lib)) [id => bitcoinjs-lib, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(bitcoinjs-lib) [id => bitcoinjs-lib, phase => typescript] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Data) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2data) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_DataOutput) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2data) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Data) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2data) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Validate) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2data) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_DataOutput) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2data) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Network) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2wpkh) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Pubkey) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2wpkh) / TsFunSig() / TsTypeObject())] 
