[debug] PhaseRunner.scala:82 Success [id => c3, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/c3/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/c3),TsIdentLibrarySimple(c3)),TsIdentModule(None,List(c3))) [id => c3, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(c3)) [id => c3, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:200 Processing TsIdentLibrarySimple(c3) [id => c3, phase => typescript] 
[info ] ExpandCallables.scala:51 Expanded format into 1 methods [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Data) / TsMemberProperty(labels) / TsTypeUnion() / TsTypeObject())] 
[info ] ExpandCallables.scala:51 Expanded xgrids into 1 methods [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI))] 
[info ] ExpandCallables.scala:51 Expanded ygrids into 1 methods [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI))] 
[info ] ExpandCallables.scala:51 Expanded regions into 1 methods [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI))] 
[info ] ExpandCallables.scala:51 Expanded data into 1 methods [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI))] 
[info ] ExpandCallables.scala:51 Expanded zoom into 1 methods [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI))] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Height) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(size) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Bottom) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(padding) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Auto) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(resize) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Pattern) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(color) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Enabled) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(interaction) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Duration) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(transition) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Type) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(line) / TsTypeObject() / TsMemberProperty(step) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_ConnectNull) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(line) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Zerobased) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(area) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Max) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(bar) / TsTypeObject() / TsMemberProperty(width) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Space) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(bar) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Format) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(pie) / TsTypeObject() / TsMemberProperty(label) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Expand) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(pie) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Format) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(donut) / TsTypeObject() / TsMemberProperty(label) / TsTypeObject())] 
