[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(consul) [id => consul, phase => typescript, file => ../types/consul/index.d.ts] 
[debug] PhaseRunner.scala:78 Success [id => consul, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/consul/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/consul),TsIdentLibrarySimple(consul)),TsIdentModule(None,List(consul))) [id => consul, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(consul)) [id => consul, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(consul) [id => consul, phase => typescript] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Callback))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Acl) / TsDeclInterface(GetOptions))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Acl) / TsDeclInterface(ListOptions))] 
[info ] ExpandCallables.scala:57 Expanded create into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Acl))] 
[info ] ExpandCallables.scala:57 Expanded update into 2 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Acl))] 
[info ] ExpandCallables.scala:57 Expanded destroy into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Acl))] 
[info ] ExpandCallables.scala:57 Expanded info into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Acl))] 
[info ] ExpandCallables.scala:57 Expanded get into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Acl))] 
[info ] ExpandCallables.scala:57 Expanded clone into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Acl))] 
[info ] ExpandCallables.scala:57 Expanded list into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Acl))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclNamespace(Check) / TsDeclInterface(ListOptions))] 
[info ] ExpandCallables.scala:57 Expanded list into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Check))] 
[info ] ExpandCallables.scala:57 Expanded register into 2 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Check))] 
[info ] ExpandCallables.scala:57 Expanded deregister into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Check))] 
[info ] ExpandCallables.scala:57 Expanded pass into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Check))] 
[info ] ExpandCallables.scala:57 Expanded warn into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Check))] 
[info ] ExpandCallables.scala:57 Expanded fail into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Check))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclNamespace(Service) / TsDeclInterface(ListOptions))] 
[info ] ExpandCallables.scala:57 Expanded list into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Service))] 
[info ] ExpandCallables.scala:57 Expanded register into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Service))] 
[info ] ExpandCallables.scala:57 Expanded deregister into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Service))] 
[info ] ExpandCallables.scala:57 Expanded maintenance into 2 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(Service))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(ChecksOptions))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(ServicesOptions))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(SelfOptions))] 
