[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/cypress/types/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/cypress),TsIdentLibrarySimple(cypress)),TsIdentModule(None,List(cypress))) [id => cypress, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(cypress) [id => cypress, phase => typescript] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(Error)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainer) / TsMemberCall() / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(Error)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainer) / TsMemberCall() / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(Error)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainer) / TsMemberCall() / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(Error)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainer) / TsMemberCall() / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeQuery())] 
[warn ] ResolveTypeQueries.scala:98 Couldn't resolve TsTypeQuery(TsQIdent(List(TsIdentSimple(BluebirdStatic)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Bluebird) / TsDeclTypeAlias(BluebirdStatic) / TsTypeQuery())] 
[warn ] ResolveTypeQueries.scala:98 Couldn't resolve TsTypeQuery(TsQIdent(List(TsIdentSimple(mimimatch)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Mimimatch) / TsDeclTypeAlias(MimimatchStatic) / TsTypeIntersect() / TsTypeQuery())] 
[warn ] ResolveTypeQueries.scala:98 Couldn't resolve TsTypeQuery(TsQIdent(List(TsIdentSimple(blobUtil)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(BlobUtil) / TsDeclTypeAlias(BlobUtilStatic) / TsTypeQuery())] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 28 members for TsIdentSimple(config) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 28 members for TsIdentSimple(config) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress))] 
[info ] ExpandCallables.scala:57 Expanded _ into 1 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress))] 
[info ] ExpandCallables.scala:57 Expanded $ into 17 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress))] 
[info ] ExpandCallables.scala:57 Expanded on into 19 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress))] 
[info ] ExpandCallables.scala:57 Expanded off into 19 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(children) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(closest) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(contains) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(filter) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(find) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(get) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(next) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(nextAll) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(nextUntil) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(parent) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(parents) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(parentsUntil) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(prev) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(prevAll) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(prevUntil) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 115 members for TsIdentSimple(siblings) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 91 members for TsIdentSimple(trigger) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 91 members for TsIdentSimple(trigger) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 91 members for TsIdentSimple(trigger) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandCallables.scala:57 Expanded and into 180 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandCallables.scala:57 Expanded on into 19 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandCallables.scala:57 Expanded off into 19 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandCallables.scala:57 Expanded should into 180 methods [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 4 members for TsIdentSimple(get) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Log))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 4 members for TsIdentSimple(set) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Log))] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TElement) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberProperty(dom) / TsTypeObject() / TsMemberFunction(isHidden) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberProperty(dom) / TsTypeObject() / TsMemberFunction(isHidden) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TArgs) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(on) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(on) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef())] 
