[debug] PhaseRunner.scala:82 Success [id => dc, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc),TsIdentLibrarySimple(dc)),TsIdentModule(None,List(dc))) [id => dc, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(dc)) [id => dc, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:200 Processing TsIdentLibrarySimple(dc) [id => dc, phase => typescript] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.svg.Axis [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(CoordinateGridMixin) / TsMemberProperty(xAxis) / TsTypeRef() / TsTypeRef())] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.svg.Axis [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(CoordinateGridMixin) / TsMemberProperty(yAxis) / TsTypeRef() / TsTypeRef())] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.layout.Stack<Array<any>, any> [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(StackMixin) / TsMemberProperty(stackLayout) / TsTypeRef() / TsTypeRef())] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.svg.Axis [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(ICompositeChart) / TsMemberProperty(rightYAxis) / TsTypeRef() / TsTypeRef())] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.geo.Projection [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(GeoChoroplethChart) / TsMemberProperty(projection) / TsTypeRef() / TsTypeRef())] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.geo.Path [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(GeoChoroplethChart) / TsMemberFunction(geoPath) / TsFunSig() / TsTypeRef())] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.svg.Axis [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(RowChart) / TsMemberProperty(xAxis) / TsTypeRef() / TsTypeRef())] 
[warn ] QualifyReferences.scala:32 Couldn't qualify d3.svg.Symbol<any> [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsExport() / TsExporteeTree() / TsDeclInterface(ScatterPlot) / TsMemberProperty(symbol) / TsTypeRef() / TsTypeRef())] 
[info ] PreferTypeAlias.scala:51 Simplified to function type alias [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Accessor))] 
[info ] ExpandCallables.scala:51 Expanded format into 1 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Columns))] 
[info ] PreferTypeAlias.scala:51 Simplified to function type alias [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(UnitFunction))] 
[info ] ExpandCallables.scala:51 Expanded integers into 1 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Units))] 
[info ] ExpandCallables.scala:51 Expanded ordinal into 1 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Units))] 
[info ] ExpandCallables.scala:51 Expanded x into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Legend))] 
[info ] ExpandCallables.scala:51 Expanded y into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Legend))] 
[info ] ExpandCallables.scala:51 Expanded gap into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Legend))] 
[info ] ExpandCallables.scala:51 Expanded itemHeight into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Legend))] 
[info ] ExpandCallables.scala:51 Expanded horizontal into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Legend))] 
[info ] ExpandCallables.scala:51 Expanded legendWidth into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(Legend))] 
