[debug] PhaseRunner.scala:84 Success [id => ecmarkup, phase => typescript] 
[debug] PhaseRunner.scala:92 Ignored [id => ecmarkup, phase => typescript] 
[warn ] PhaseRunner.scala:70 Failed because of, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[error] PhaseRunner.scala:88 Failure, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[warn ] PhaseRunner.scala:70 Failed because of, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[error] PhaseRunner.scala:88 Failure, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[warn ] PhaseRunner.scala:70 Failed because of, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[error] PhaseRunner.scala:88 Failure, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[warn ] PhaseRunner.scala:70 Failed because of, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[error] PhaseRunner.scala:88 Failure, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => typescript] 
[error] PhaseRunner.scala:88 Failure, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => scala.js] 
[error] PhaseRunner.scala:88 Failure, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => build] 
[error] PhaseRunner.scala:88 Failure, [@esfx/type-model => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@esfx/type-model/dist/index.d.ts): Parse error at 24.62 end of input expected] [id => ecmarkup, phase => publish] 
