[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(react)) for TsIdentLibrarySimple(expo) [id => expo, phase => typescript, file => ../types/expo/index.d.ts] 
[debug] PhaseRunner.scala:78 Success [id => expo, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/expo/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/expo),TsIdentLibrarySimple(expo)),TsIdentModule(None,List(expo))) [id => expo, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(expo)) [id => expo, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(expo) [id => expo, phase => typescript] 
[info ] UnionTypesFromKeyOf.scala:11 Expanded keyof TsQIdent(List(TsIdentLibrarySimple(expo), TsIdentModule(None,List(expo)), TsIdentNamespace(FaceDetector), TsIdentSimple(Mode))) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FaceDetector) / TsDeclInterface(DetectionOptions) / TsMemberProperty(mode) / TsTypeKeyOf())] 
[info ] UnionTypesFromKeyOf.scala:23 Could not expand keyof TsQIdent(List(TsIdentLibrarySimple(expo), TsIdentModule(None,List(expo)), TsIdentNamespace(FaceDetector), TsIdentSimple(Landmarks))): Some(TsDeclTypeAlias(NoComments,false,TsIdentSimple(Landmarks),List(),TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(expo), TsIdentModule(None,List(expo)), TsIdentNamespace(FaceDetector), TsIdentSimple(_Shared))),List()),HasPath(TsIdentLibrarySimple(expo),TsQIdent(List(TsIdentModule(None,List(expo)), TsIdentNamespace(FaceDetector), TsIdentSimple(Landmarks)))))) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FaceDetector) / TsDeclInterface(DetectionOptions) / TsMemberProperty(detectLandmarks) / TsTypeKeyOf())] 
[info ] UnionTypesFromKeyOf.scala:23 Could not expand keyof TsQIdent(List(TsIdentLibrarySimple(expo), TsIdentModule(None,List(expo)), TsIdentNamespace(FaceDetector), TsIdentSimple(Classifications))): Some(TsDeclTypeAlias(NoComments,false,TsIdentSimple(Classifications),List(),TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(expo), TsIdentModule(None,List(expo)), TsIdentNamespace(FaceDetector), TsIdentSimple(_Shared))),List()),HasPath(TsIdentLibrarySimple(expo),TsQIdent(List(TsIdentModule(None,List(expo)), TsIdentNamespace(FaceDetector), TsIdentSimple(Classifications)))))) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FaceDetector) / TsDeclInterface(DetectionOptions) / TsMemberProperty(runClassifications) / TsTypeKeyOf())] 
[info ] UnionTypesFromKeyOf.scala:11 Expanded keyof TsQIdent(List(TsIdentLibrarySimple(expo), TsIdentModule(None,List(expo)), TsIdentNamespace(ImagePicker), TsIdentSimple(_MediaTypeOptions))) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(ImagePicker) / TsDeclInterface(ImageLibraryOptions) / TsMemberProperty(mediaTypes) / TsTypeKeyOf())] 
[info ] UnionTypesFromKeyOf.scala:11 Expanded keyof TsQIdent(List(TsIdentLibrarySimple(expo), TsIdentModule(None,List(expo)), TsIdentNamespace(ScreenOrientation), TsIdentSimple(Orientations))) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(ScreenOrientation) / TsDeclFunction(allow) / TsFunSig() / TsFunParam() / TsTypeKeyOf())] 
[info ] ExpandCallables.scala:57 Expanded eventListener into 1 methods [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Updates) / TsDeclInterface(FetchUpdateAsyncParams))] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AdMobBanner) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AdMobBanner) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AdMobBanner) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AdMobBanner) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(PublisherBanner) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(PublisherBanner) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(PublisherBanner) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(PublisherBanner) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AppLoading) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AppLoading) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AppLoading) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(AppLoading) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BarCodeScanner) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BarCodeScanner) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BarCodeScanner) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BarCodeScanner) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BlurView) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BlurView) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BlurView) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(BlurView) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Camera) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Camera) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Camera) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Camera) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclFunction(withNativeAd) / TsFunSig() / TsFunParam() / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclFunction(withNativeAd) / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclFunction(withNativeAd) / TsFunSig() / TsFunParam() / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclFunction(withNativeAd) / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclFunction(withNativeAd) / TsFunSig() / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclFunction(withNativeAd) / TsFunSig() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclClass(BannerView) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclClass(BannerView) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclClass(BannerView) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(FacebookAds) / TsDeclClass(BannerView) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(GLView) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(GLView) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(P) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef())] 
