[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibraryScoped(google-cloud,Some(storage)) [id => @google-cloud/storage, phase => typescript, file => ../build/src/storage.d.ts] 
[debug] PhaseRunner.scala:86 Ignored [id => @google-cloud/storage, phase => typescript] 
[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibraryScoped(google-cloud,Some(storage)) [id => @google-cloud/storage, phase => typescript, file => ../build/src/bucket.d.ts] 
[debug] PhaseRunner.scala:86 Ignored [id => @google-cloud/storage, phase => typescript] 
[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibraryScoped(google-cloud,Some(storage)) [id => @google-cloud/storage, phase => typescript, file => ../build/src/file.d.ts] 
[debug] PhaseRunner.scala:86 Ignored [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[warn ] PhaseRunner.scala:64 Failed because of, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => typescript] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => scala.js] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => build] 
[debug] PhaseRunner.scala:82 Failure, [@google-cloud/common => InFile(/home/tso/tmp/tso-cache/npm/node_modules/@google-cloud/common/build/src/service-object.d.ts): Parse error at 72.45 '']'' expected but '...' found] [id => @google-cloud/storage, phase => publish] 
