[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(backbone)) for TsIdentLibrarySimple(jointjs) [id => jointjs, phase => typescript, file => ../jointjs/dist/joint.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => jointjs, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/jointjs/dist/joint.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/jointjs),TsIdentLibrarySimple(jointjs)),TsIdentModule(None,List(jointjs))) [id => jointjs, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(jointjs)) [id => jointjs, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:184 Processing TsIdentLibrarySimple(jointjs) [id => jointjs, phase => typescript] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Cell)))) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsExport() / TsExporteeTree() / TsDeclNamespace(dia) / TsDeclClass(Graph) / TsMemberFunction(constructor) / TsFunSig() / TsFunParam() / TsTypeObject() / TsMemberProperty(cellModel) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(ElementView)))) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsExport() / TsExporteeTree() / TsDeclNamespace(dia) / TsExport() / TsExporteeTree() / TsDeclNamespace(Paper) / TsDeclInterface(Options) / TsMemberProperty(elementView) / TsTypeUnion() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(ElementView)))) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsExport() / TsExporteeTree() / TsDeclNamespace(dia) / TsExport() / TsExporteeTree() / TsDeclNamespace(Paper) / TsDeclInterface(Options) / TsMemberProperty(elementView) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(LinkView)))) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsExport() / TsExporteeTree() / TsDeclNamespace(dia) / TsExport() / TsExporteeTree() / TsDeclNamespace(Paper) / TsDeclInterface(Options) / TsMemberProperty(linkView) / TsTypeUnion() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(LinkView)))) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsExport() / TsExporteeTree() / TsDeclNamespace(dia) / TsExport() / TsExporteeTree() / TsDeclNamespace(Paper) / TsDeclInterface(Options) / TsMemberProperty(linkView) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsTypeQuery())] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(V) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs))] 
