[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(mongoose) [id => mongoose, phase => typescript, file => ../types/mongoose/index.d.ts] 
[debug] PhaseRunner.scala:86 Ignored [id => mongoose, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => mongoose, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/mongoose/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/mongoose),TsIdentLibrarySimple(mongoose)),TsIdentModule(None,List(mongoose))) [id => mongoose, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(mongoose) [id => mongoose, phase => typescript] 
[info ] SimplifyParents.scala:42 Simplified class which extends var TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(node), TsIdentSimple(Anon_IsEncoding))),Vector()) to typeof var [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile())] 
[info ] SimplifyParents.scala:42 Simplified class which extends var TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(DateConstructor))),List()) to typeof var [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile())] 
[info ] SimplifyParents.scala:42 Simplified class which extends var TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(ErrorConstructor))),List()) to typeof var [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile())] 
[info ] SimplifyParents.scala:42 Simplified class which extends var TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(ErrorConstructor))),List()) to typeof var [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile())] 
[info ] SimplifyParents.scala:42 Simplified class which extends var TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(ArrayConstructor))),List()) to typeof var [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile())] 
[info ] SimplifyParents.scala:42 Simplified class which extends var TsTypeRef(TsQIdent(List(TsIdentLibrarySimple(node), TsIdentSimple(Anon_IsEncoding))),Vector()) to typeof var [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile())] 
