[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(nock) [id => nock, phase => typescript, file => ../types/nock/index.d.ts] 
[debug] PhaseRunner.scala:78 Success [id => nock, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/nock/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/nock),TsIdentLibrarySimple(nock)),TsIdentModule(None,List(nock))) [id => nock, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(nock)) [id => nock, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(nock) [id => nock, phase => typescript] 
[info ] ExpandCallables.scala:57 Expanded get into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExpandCallables.scala:57 Expanded post into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExpandCallables.scala:57 Expanded put into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExpandCallables.scala:57 Expanded head into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExpandCallables.scala:57 Expanded patch into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExpandCallables.scala:57 Expanded merge into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExpandCallables.scala:57 Expanded delete into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExpandCallables.scala:57 Expanded options into 1 methods [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope))] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
