[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(objection) [id => objection, phase => typescript, file => ../typings/objection/index.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => objection, phase => typescript] 
[info ] Phase1ReadTypescript.scala:171 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/objection/typings/objection/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/objection),TsIdentLibrarySimple(objection)),TsIdentModule(None,List(objection))) [id => objection, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(objection)) [id => objection, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:189 Processing TsIdentLibrarySimple(objection) [id => objection, phase => typescript] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(Plugin) / TsMemberCall() / TsFunSig() / TsTypeParam() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(QueryBuilder)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclClass(Model) / TsMemberProperty(QueryBuilder) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclClass(Model) / TsMemberFunction(traverse) / TsFunSig() / TsFunParam() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(QueryBuilder) / TsMemberFunction(castTo) / TsFunSig() / TsTypeParam() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(QueryBuilder)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(ModelClass) / TsMemberProperty(QueryBuilder) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(ModelClass) / TsMemberFunction(traverse) / TsFunSig() / TsFunParam() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(QueryBuilderBase) / TsMemberFunction(modelClass) / TsFunSig() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(QueryBuilderBase) / TsMemberFunction(traverse) / TsFunSig() / TsFunParam() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(QueryBuilderBase) / TsMemberFunction(pick) / TsFunSig() / TsFunParam() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:139 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Model)))) [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsExport() / TsExporteeTree() / TsDeclInterface(QueryBuilderBase) / TsMemberFunction(omit) / TsFunSig() / TsFunParam() / TsTypeQuery())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RM [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(Plugin) / TsMemberCall() / TsFunSig() / TsTypeParam() / TsTypeObject() / TsMemberFunction(query) / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(Plugin) / TsMemberCall() / TsFunSig() / TsTypeParam() / TsTypeObject() / TsMemberFunction(query) / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(Plugin) / TsMemberCall() / TsFunSig() / TsTypeParam() / TsTypeObject() / TsMemberFunction(relatedQuery) / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RM [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(Plugin) / TsMemberCall() / TsFunSig() / TsTypeParam() / TsTypeObject() / TsMemberFunction(loadRelated) / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(Plugin) / TsMemberCall() / TsFunSig() / TsTypeParam() / TsTypeObject() / TsMemberFunction(loadRelated) / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RM [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(modify) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(modify) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RM [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(modify) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(modify) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RM [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(filter) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(filter) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RM [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(filter) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(RelationMapping) / TsMemberProperty(filter) / TsTypeUnion() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RM [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(Modifiers) / TsMemberIndex() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[warn ] DefaultedTypeArguments.scala:38 no default parameter for RV [id => objection, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(objection) / TsDeclInterface(Modifiers) / TsMemberIndex() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
