[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibraryScoped(octokit,Some(rest)) [id => @octokit/rest, phase => typescript, file => ../@octokit/rest/index.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => @octokit/rest, phase => typescript] 
[info ] Phase1ReadTypescript.scala:171 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@octokit/rest/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@octokit/rest),TsIdentLibraryScoped(octokit,Some(rest))),TsIdentModule(Some(octokit),List(rest))) [id => @octokit/rest, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(octokit),List(rest)) [id => @octokit/rest, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:189 Processing TsIdentLibraryScoped(octokit,Some(rest)) [id => @octokit/rest, phase => typescript] 
[info ] PreferTypeAlias.scala:73 Simplified to function type alias [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Callback))] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_Date) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Response) / TsMemberProperty(headers) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_On2fa) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Options) / TsMemberProperty(auth) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_ClientId) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Options) / TsMemberProperty(auth) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Fn_Promise) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Options) / TsMemberProperty(auth) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_Debug) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Options) / TsMemberProperty(log) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_Agent) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Options) / TsMemberProperty(request) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_Link) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclTypeAlias(Link) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_Link) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclTypeAlias(Link) / TsTypeUnion() / TsTypeObject() / TsMemberProperty(headers) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_Headers) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclTypeAlias(Link) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_AgentCompress) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(HookOptions) / TsMemberProperty(request) / TsTypeObject())] 
