[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(rethinkdb) [id => rethinkdb, phase => typescript, file => ../types/rethinkdb/index.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => rethinkdb, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/rethinkdb/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/rethinkdb),TsIdentLibrarySimple(rethinkdb)),TsIdentModule(None,List(rethinkdb))) [id => rethinkdb, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:182 Processing TsIdentLibrarySimple(rethinkdb) [id => rethinkdb, phase => typescript] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(connect) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(connect) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(connect) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(connect) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(dbCreate) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(dbDrop) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(dbList) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(db) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(table) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(asc) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(desc) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(point) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(polygon) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(circle) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(sum) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(avg) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(expr) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(now) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(epochTime) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(branch) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(js) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(uuid) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(hasNext) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclClass(Cursor))] 
