[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(sparkpost) [id => sparkpost, phase => typescript, file => ../types/sparkpost/index.d.ts] 
[debug] PhaseRunner.scala:78 Success [id => sparkpost, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/sparkpost/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/sparkpost),TsIdentLibrarySimple(sparkpost)),TsIdentModule(None,List(sparkpost))) [id => sparkpost, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(sparkpost)) [id => sparkpost, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(sparkpost) [id => sparkpost, phase => typescript] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(relayWebhooks) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(relayWebhooks) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(relayWebhooks) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(relayWebhooks) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Create) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(relayWebhooks) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Message) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(validate) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(validate) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject() / TsMemberProperty(response) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Msg) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(validate) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Message) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(validate) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(validate) / TsFunSig() / TsTypeRef() / TsTypeObject() / TsMemberProperty(response) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Msg) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(validate) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeIntersect() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsTypeRef() / TsTypeIntersect() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Events) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getSamples) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Events) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getSamples) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Limit) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getBatchStatus) / TsFunSig() / TsFunParam() / TsTypeObject())] 
