[debug] PhaseRunner.scala:92 Ignored [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:92 Ignored [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @storybook/addons, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @storybook/addons, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons/dist/hooks.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons),TsIdentLibraryScoped(storybook,Some(addons))),TsIdentModule(Some(storybook),List(addons, dist, hooks))) [id => @storybook/addons, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(storybook),List(addons, dist, hooks)) [id => @storybook/addons, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons/dist/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons),TsIdentLibraryScoped(storybook,Some(addons))),TsIdentModule(Some(storybook),List(addons, dist))) [id => @storybook/addons, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(storybook),List(addons, dist)) [id => @storybook/addons, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons/dist/make-decorator.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons),TsIdentLibraryScoped(storybook,Some(addons))),TsIdentModule(Some(storybook),List(addons, dist, make-decorator))) [id => @storybook/addons, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(storybook),List(addons, dist, make-decorator)) [id => @storybook/addons, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons/dist/public_api.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons),TsIdentLibraryScoped(storybook,Some(addons))),TsIdentModule(Some(storybook),List(addons, dist, public_api))) [id => @storybook/addons, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(storybook),List(addons, dist, public_api)) [id => @storybook/addons, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons/dist/storybook-channel-mock.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons),TsIdentLibraryScoped(storybook,Some(addons))),TsIdentModule(Some(storybook),List(addons, dist, storybook-channel-mock))) [id => @storybook/addons, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(storybook),List(addons, dist, storybook-channel-mock)) [id => @storybook/addons, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons/dist/types.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@storybook/addons),TsIdentLibraryScoped(storybook,Some(addons))),TsIdentModule(Some(storybook),List(addons, dist, types))) [id => @storybook/addons, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(storybook),List(addons, dist, types)) [id => @storybook/addons, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:182 Processing TsIdentLibraryScoped(storybook,Some(addons)) [id => @storybook/addons, phase => typescript] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(applyHooks) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useMemo) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useCallback) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useRef) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useState) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useReducer) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useReducer) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useEffect) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useChannel) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useStoryContext) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(useParameter) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(renderListener) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(init) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(clean) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getNextHook) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(triggerEffects) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(addRenderListeners) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(removeRenderListeners) [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclClass(HooksContext))] 
[info ] ExpandTypeParams.scala:53 Expanding 1 call members [id => @storybook/addons, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/addons/dist/hooks) / TsDeclInterface(Listener))] 
