[debug] PhaseRunner.scala:78 Success [id => @storybook/vue, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/storybook__vue/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/storybook__vue),TsIdentLibraryScoped(storybook,Some(vue))),TsIdentModule(Some(storybook),List(vue))) [id => @storybook/vue, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(storybook),List(vue)) [id => @storybook/vue, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibraryScoped(storybook,Some(vue)) [id => @storybook/vue, phase => typescript] 
[info ] ExpandCallables.scala:57 Expanded render into 1 methods [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject))] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Data) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Methods) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Computed) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(PropsDef) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Props) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryFunction) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Data) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Methods) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Computed) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(PropsDef) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Props) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Data) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Methods) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Computed) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(PropsDef) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Props) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclTypeAlias(StoryDecorator) / TsTypeFunction() / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Data) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Methods) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(Computed) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(PropsDef) at TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef()) [id => @storybook/vue, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@storybook/vue) / TsDeclInterface(StoryObject) / TsMemberFunction(render) / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
