[debug] PhaseRunner.scala:84 Success [id => typescript-stl, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl/lib/typescript-stl.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl),TsIdentLibrarySimple(typescript-stl)),TsIdentModule(None,List(typescript-stl))) [id => typescript-stl, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:184 Processing TsIdentLibrarySimple(typescript-stl) [id => typescript-stl, phase => typescript] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(SetIterator)))) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std) / TsDeclNamespace(base) / TsDeclClass(SetContainer) / TsMemberProperty(iterator) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(MapIterator)))) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std) / TsDeclNamespace(base) / TsDeclClass(MapContainer) / TsMemberProperty(iterator) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(VectorIterator)))) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std) / TsDeclClass(Vector) / TsMemberProperty(iterator) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:214 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(DequeIterator)))) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std) / TsDeclClass(Deque) / TsMemberProperty(iterator) / TsTypeQuery())] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(distance) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(advance) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(prev) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(next) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(begin) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(begin) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(begin) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(begin) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(begin) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(end) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(end) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(end) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(end) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(end) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(for_each) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(all_of) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(any_of) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(none_of) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(equal) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(equal) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(is_permutation) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(is_permutation) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(lexicographical_compare) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(lexicographical_compare) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(find) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(find_if) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(find_if_not) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(find_end) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(find_end) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(find_first_of) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(find_first_of) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(adjacent_find) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(adjacent_find) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(search) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(search) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(search_n) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(search_n) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(mismatch) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(mismatch) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(count) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(count_if) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(copy_n) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(copy_if) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(copy_backward) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(fill) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(fill_n) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(transform) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(transform) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(generate) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(generate_n) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(unique) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(unique) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
