[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(webpack) [id => webpack, phase => typescript, file => ../types/webpack/index.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => webpack, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/webpack/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/webpack),TsIdentLibrarySimple(webpack)),TsIdentModule(None,List(webpack))) [id => webpack, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(webpack)) [id => webpack, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:182 Processing TsIdentLibrarySimple(webpack) [id => webpack, phase => typescript] 
[info ] ResolveTypeQueries.scala:150 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Dependency)))) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsExport() / TsExporteeTree() / TsDeclNamespace(compilation) / TsDeclClass(Compilation) / TsMemberProperty(dependencyFactories) / TsTypeRef() / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:150 Resolved TsTypeQuery(TsQIdent(List(TsIdentSimple(Dependency)))) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsExport() / TsExporteeTree() / TsDeclNamespace(compilation) / TsDeclClass(Compilation) / TsMemberProperty(dependencyTemplates) / TsTypeRef() / TsTypeQuery())] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(^) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(^) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(^) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(^) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack))] 
[warn ] SimplifyRecursiveTypeAlias.scala:14 Simplified recursive type alias webpack.webpack.RuleSetCondition [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclTypeAlias(RuleSetCondition) / TsTypeUnion() / TsTypeObject() / TsMemberProperty(and) / TsTypeRef() / TsTypeRef())] 
[warn ] SimplifyRecursiveTypeAlias.scala:14 Simplified recursive type alias webpack.webpack.RuleSetCondition [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclTypeAlias(RuleSetCondition) / TsTypeUnion() / TsTypeObject() / TsMemberProperty(exclude) / TsTypeRef())] 
[warn ] SimplifyRecursiveTypeAlias.scala:14 Simplified recursive type alias webpack.webpack.RuleSetCondition [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclTypeAlias(RuleSetCondition) / TsTypeUnion() / TsTypeObject() / TsMemberProperty(include) / TsTypeRef())] 
[warn ] SimplifyRecursiveTypeAlias.scala:14 Simplified recursive type alias webpack.webpack.RuleSetCondition [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclTypeAlias(RuleSetCondition) / TsTypeUnion() / TsTypeObject() / TsMemberProperty(not) / TsTypeRef() / TsTypeRef())] 
[warn ] SimplifyRecursiveTypeAlias.scala:14 Simplified recursive type alias webpack.webpack.RuleSetCondition [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclTypeAlias(RuleSetCondition) / TsTypeUnion() / TsTypeObject() / TsMemberProperty(or) / TsTypeRef() / TsTypeRef())] 
[warn ] SimplifyRecursiveTypeAlias.scala:14 Simplified recursive type alias webpack.webpack.RuleSetCondition [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclTypeAlias(RuleSetCondition) / TsTypeUnion() / TsTypeObject() / TsMemberProperty(test) / TsTypeRef())] 
[info ] PreferTypeAlias.scala:168 Could not simplify webpack.webpack.RuleSetConditions to function type alias because of circular references Vector(TsQIdent(List(TsIdentLibrarySimple(webpack), TsIdentModule(None,List(webpack)), TsIdentSimple(RuleSetConditions)))) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclTypeAlias(RuleSetCondition))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(debug) / TsDeclClass(ProfilingPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(hasRuntime) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
